Epoch 52, Loss: 0.6782, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 53, Loss: 0.6762, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 54, Loss: 0.6761, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 55, Loss: 0.6763, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 56, Loss: 0.6769, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 57, Loss: 0.6780, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 58, Loss: 0.6738, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 59, Loss: 0.6758, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 60, Loss: 0.6768, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 61, Loss: 0.6775, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 62, Loss: 0.6781, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 63, Loss: 0.6776, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 64, Loss: 0.6762, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 65, Loss: 0.6776, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 66, Loss: 0.6746, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 67, Loss: 0.6760, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 68, Loss: 0.6750, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 69, Loss: 0.6735, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 70, Loss: 0.6748, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 71, Loss: 0.6753, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 72, Loss: 0.6730, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 73, Loss: 0.6732, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 74, Loss: 0.6742, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 75, Loss: 0.6730, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 76, Loss: 0.6738, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 77, Loss: 0.6801, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 78, Loss: 0.6754, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 79, Loss: 0.6725, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 80, Loss: 0.6725, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 81, Loss: 0.6737, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 82, Loss: 0.6760, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 83, Loss: 0.6725, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 84, Loss: 0.6733, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 85, Loss: 0.6713, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 86, Loss: 0.6731, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 87, Loss: 0.6722, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 88, Loss: 0.6725, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 89, Loss: 0.6731, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 90, Loss: 0.6772, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 91, Loss: 0.6721, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 92, Loss: 0.6701, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 93, Loss: 0.6738, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 94, Loss: 0.6698, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 95, Loss: 0.6730, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 96, Loss: 0.6731, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 97, Loss: 0.6716, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 98, Loss: 0.6722, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 99, Loss: 0.6697, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 100, Loss: 0.6725, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 101, Loss: 0.6695, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 102, Loss: 0.6711, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 103, Loss: 0.6762, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 104, Loss: 0.6731, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 105, Loss: 0.6725, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 106, Loss: 0.6766, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 107, Loss: 0.6723, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 108, Loss: 0.6713, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 109, Loss: 0.6687, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 110, Loss: 0.6694, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 111, Loss: 0.6707, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 112, Loss: 0.6720, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 113, Loss: 0.6721, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 114, Loss: 0.6719, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 115, Loss: 0.6698, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 116, Loss: 0.6704, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 117, Loss: 0.6716, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 118, Loss: 0.6718, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 119, Loss: 0.6728, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 120, Loss: 0.6706, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 121, Loss: 0.6704, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 122, Loss: 0.6691, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 123, Loss: 0.6718, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 124, Loss: 0.6690, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 125, Loss: 0.6715, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 126, Loss: 0.6716, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
