Epoch 86, Loss: 0.6680, Accuracy: 0.5875, lr: 0.002
Epoch 87, Loss: 0.6793, Accuracy: 0.5875, lr: 0.002
Epoch 88, Loss: 0.6735, Accuracy: 0.5875, lr: 0.002
Epoch 89, Loss: 0.6785, Accuracy: 0.5875, lr: 0.002
Epoch 90, Loss: 0.6730, Accuracy: 0.5875, lr: 0.002
Epoch 91, Loss: 0.6703, Accuracy: 0.5875, lr: 0.002
Epoch 92, Loss: 0.6763, Accuracy: 0.5875, lr: 0.002
Epoch 93, Loss: 0.6718, Accuracy: 0.5875, lr: 0.002
Epoch 94, Loss: 0.6690, Accuracy: 0.5875, lr: 0.002
Epoch 95, Loss: 0.6719, Accuracy: 0.5875, lr: 0.002
Epoch 96, Loss: 0.6701, Accuracy: 0.5875, lr: 0.002
Epoch 97, Loss: 0.6726, Accuracy: 0.5875, lr: 0.002
Epoch 98, Loss: 0.6700, Accuracy: 0.5875, lr: 0.002
Epoch 99, Loss: 0.6700, Accuracy: 0.5875, lr: 0.002
Epoch 100, Loss: 0.6743, Accuracy: 0.5875, lr: 0.002
Epoch 101, Loss: 0.6699, Accuracy: 0.5875, lr: 0.002
Epoch 102, Loss: 0.6718, Accuracy: 0.5875, lr: 0.002
Epoch 103, Loss: 0.6766, Accuracy: 0.5875, lr: 0.002
Epoch 104, Loss: 0.6742, Accuracy: 0.5875, lr: 0.002
Epoch 105, Loss: 0.6728, Accuracy: 0.5875, lr: 0.002
Epoch 106, Loss: 0.6784, Accuracy: 0.5875, lr: 0.002
Epoch 107, Loss: 0.6734, Accuracy: 0.5875, lr: 0.002
Epoch 108, Loss: 0.6728, Accuracy: 0.5875, lr: 0.002
Epoch 109, Loss: 0.6718, Accuracy: 0.5875, lr: 0.002
Epoch 110, Loss: 0.6731, Accuracy: 0.5875, lr: 0.002
Epoch 111, Loss: 0.6723, Accuracy: 0.5875, lr: 0.002
Epoch 112, Loss: 0.6698, Accuracy: 0.5875, lr: 0.002
Epoch 113, Loss: 0.6719, Accuracy: 0.5875, lr: 0.002
Epoch 114, Loss: 0.6697, Accuracy: 0.5875, lr: 0.002
Epoch 115, Loss: 0.6719, Accuracy: 0.5875, lr: 0.002
Epoch 116, Loss: 0.6703, Accuracy: 0.5875, lr: 0.002
Epoch 117, Loss: 0.6711, Accuracy: 0.5875, lr: 0.002
Epoch 118, Loss: 0.6760, Accuracy: 0.5875, lr: 0.002
Epoch 119, Loss: 0.6715, Accuracy: 0.5875, lr: 0.002
Epoch 120, Loss: 0.6699, Accuracy: 0.5875, lr: 0.002
Epoch 121, Loss: 0.6723, Accuracy: 0.5875, lr: 0.002
Epoch 122, Loss: 0.6693, Accuracy: 0.5875, lr: 0.002
Epoch 123, Loss: 0.6716, Accuracy: 0.5875, lr: 0.002
Epoch 124, Loss: 0.6724, Accuracy: 0.5875, lr: 0.002
Epoch 125, Loss: 0.6726, Accuracy: 0.5875, lr: 0.002
Epoch 126, Loss: 0.6705, Accuracy: 0.5875, lr: 0.002
Epoch 127, Loss: 0.6736, Accuracy: 0.5875, lr: 0.002
Epoch 128, Loss: 0.6715, Accuracy: 0.5875, lr: 0.002
Epoch 129, Loss: 0.6717, Accuracy: 0.5875, lr: 0.002
Epoch 130, Loss: 0.6680, Accuracy: 0.5875, lr: 0.002
Epoch 131, Loss: 0.6760, Accuracy: 0.5875, lr: 0.002
Epoch 132, Loss: 0.6715, Accuracy: 0.5875, lr: 0.002
Epoch 133, Loss: 0.6771, Accuracy: 0.5875, lr: 0.002
Epoch 134, Loss: 0.6718, Accuracy: 0.5875, lr: 0.002
Epoch 135, Loss: 0.6691, Accuracy: 0.5875, lr: 0.002
Epoch 136, Loss: 0.6708, Accuracy: 0.5875, lr: 0.002
Epoch 137, Loss: 0.6695, Accuracy: 0.5875, lr: 0.002
Epoch 138, Loss: 0.6696, Accuracy: 0.5875, lr: 0.002
Epoch 139, Loss: 0.6721, Accuracy: 0.5875, lr: 0.002
Epoch 140, Loss: 0.6809, Accuracy: 0.5875, lr: 0.002
Epoch 141, Loss: 0.6718, Accuracy: 0.5875, lr: 0.002
Epoch 142, Loss: 0.6703, Accuracy: 0.5875, lr: 0.002
Epoch 143, Loss: 0.6690, Accuracy: 0.5875, lr: 0.002
Epoch 144, Loss: 0.6699, Accuracy: 0.5875, lr: 0.002
